1.1.1.1,"Alcoholdehydrogenase"
1.3.1.57,"Phloroglucinolreductase"
1.3.1.58,"2,3-dihydroxy-2,3-dihydro-p-cumatedehydrogenase"
1.3.1.6,"Fumaratereductase(NADH)"
1.3.1.60,"Dibenzothiophenedihydrodioldehydrogenase"
1.3.1.70,"Delta(14)-sterolreductase"
1.3.1.71,"Delta(24(24(1)))-sterolreductase"
1.3.1.74,"2-alkenalreductase"
1.3.1.76,"Precorrin-2dehydrogenase"
1.3.1.77,"Anthocyanidinreductase"
1.3.1.78,"Arogenatedehydrogenase(NADP(+))"
1.3.1.80,"Redchlorophyllcatabolitereductase"
1.3.1.9,"Enoyl-[acyl-carrier-protein]reductase(NADH)"
1.3.3.1,"Dihydroorotateoxidase"
1.3.3.11,"Pyrroloquinoline-quinonesynthase"
1.3.3.3,"Coproporphyrinogenoxidase"
1.3.3.4,"Protoporphyrinogenoxidase"
1.3.3.5,"Bilirubinoxidase"
1.3.3.6,"Acyl-CoAoxidase"
1.3.3.9,"Secologaninsynthase"
1.3.5.1,"Succinatedehydrogenase(ubiquinone)"
1.3.7.2,"15,16-dihydrobiliverdin:ferredoxinoxidoreductase"
1.3.7.3,"Phycoerythrobilin:ferredoxinoxidoreductase"
1.3.7.4,"Phytochromobilin:ferredoxinoxidoreductase"
1.3.7.5,"Phycocyanobilin:ferredoxinoxidoreductase"
1.3.7.6,"Phycoerythrobilinsynthase"
1.3.99.1,"Succinatedehydrogenase"
1.3.99.10,"Isovaleryl-CoAdehydrogenase"
1.3.99.13,"Long-chain-acyl-CoAdehydrogenase"
1.3.99.15,"Benzoyl-CoAreductase"
1.3.99.16,"Isoquinoline1-oxidoreductase"
1.3.99.17,"Quinoline2-oxidoreductase"
1.3.99.2,"Butyryl-CoAdehydrogenase"
1.3.99.20,"4-hydroxybenzoyl-CoAreductase"
1.3.99.21,"(R)-benzylsuccinyl-CoAdehydrogenase"
1.3.99.22,"Coproporphyrinogendehydrogenase"
1.3.99.23,"All-trans-retinol13,14-reductase"
1.3.99.3,"Acyl-CoAdehydrogenase"
1.3.99.4,"3-oxosteroid1-dehydrogenase"
1.3.99.5,"3-oxo-5-alpha-steroid4-dehydrogenase"
1.3.99.7,"Glutaryl-CoAdehydrogenase"
1.4.1.1,"Alaninedehydrogenase"
1.4.1.13,"Glutamatesynthase(NADPH)"
1.4.1.14,"Glutamatesynthase(NADH)"
1.4.1.16,"Diaminopimelatedehydrogenase"
1.4.1.2,"Glutamatedehydrogenase"
1.4.1.20,"Phenylalaninedehydrogenase"
1.4.1.21,"Aspartatedehydrogenase"
1.4.1.3,"Glutamatedehydrogenase(NAD(P)(+))"
1.4.1.4,"Glutamatedehydrogenase(NADP(+))"
1.4.1.9,"Leucinedehydrogenase"
1.4.3.1,"D-aspartateoxidase"
1.4.3.10,"Putrescineoxidase"
1.4.3.13,"Protein-lysine6-oxidase"
1.4.3.16,"L-aspartateoxidase"
1.4.3.19,"Glycineoxidase"
1.4.3.2,"L-amino-acidoxidase"
1.4.3.21,"Primary-amineoxidase"
1.4.3.22,"Diamineoxidase"
1.4.3.3,"D-amino-acidoxidase"
1.4.3.4,"Monoamineoxidase"
1.4.3.5,"Pyridoxal5{prime}-phosphatesynthase"
1.4.4.2,"Glycinedehydrogenase(decarboxylating)"
1.4.7.1,"Glutamatesynthase(ferredoxin)"
1.4.99.1,"D-amino-aciddehydrogenase"
1.4.99.3,"Aminedehydrogenase"
1.4.99.4,"Aralkylaminedehydrogenase"
1.5.1.10,"Saccharopinedehydrogenase(NADP(+),L-glutamate-forming)"
1.5.1.11,"D-octopinedehydrogenase"
1.5.1.12,"1-pyrroline-5-carboxylatedehydrogenase"
1.5.1.15,"Methylenetetrahydrofolatedehydrogenase(NAD(+))"
1.5.1.16,"D-lysopinedehydrogenase"
1.5.1.19,"D-nopalinedehydrogenase"
1.5.1.2,"Pyrroline-5-carboxylatereductase"
1.5.1.20,"Methylenetetrahydrofolatereductase(NAD(P)H)"
1.5.1.24,"N(5)-(carboxyethyl)ornithinesynthase"
1.5.1.28,"Opinedehydrogenase"
1.5.1.29,"FMNreductase"
1.5.1.3,"Dihydrofolatereductase"
1.5.1.30,"Flavinreductase"
1.5.1.33,"Pteridinereductase"
1.5.1.34,"6,7-dihydropteridinereductase"
1.5.1.5,"Methylenetetrahydrofolatedehydrogenase(NADP(+))"
1.5.1.6,"Formyltetrahydrofolatedehydrogenase"
1.5.1.7,"Saccharopinedehydrogenase(NAD(+),L-lysine-forming)"
1.5.1.8,"Saccharopinedehydrogenase(NADP(+),L-lysine-forming)"
1.5.1.9,"Saccharopinedehydrogenase(NAD(+),L-glutamate-forming)"
1.5.3.1,"Sarcosineoxidase"
1.5.3.11,"Polyamineoxidase"
1.5.3.6,"(R)-6-hydroxynicotineoxidase"
1.5.3.7,"L-pipecolateoxidase"
1.5.5.1,"Electron-transferring-flavoproteindehydrogenase"
1.5.8.1,"Dimethylaminedehydrogenase"
1.5.8.2,"Trimethylaminedehydrogenase"
1.5.99.1,"Sarcosinedehydrogenase"
1.5.99.11,"5,10-methylenetetrahydromethanopterinreductase"
1.5.99.12,"Cytokinindehydrogenase"
1.5.99.2,"Dimethylglycinedehydrogenase"
1.5.99.8,"Prolinedehydrogenase"
1.5.99.9,"Methylenetetrahydromethanopterindehydrogenase"
1.6.1.1,"NAD(P)(+)transhydrogenase(B-specific)"
1.6.1.2,"NAD(P)(+)transhydrogenase(AB-specific)"
1.6.2.2,"Cytochrome-b5reductase"
1.6.2.4,"NADPH--hemoproteinreductase"
1.6.3.1,"NAD(P)Hoxidase"
1.6.5.2,"NAD(P)Hdehydrogenase(quinone)"
1.6.5.3,"NADHdehydrogenase(ubiquinone)"
1.6.5.4,"Monodehydroascorbatereductase(NADH)"
1.6.5.5,"NADPH:quinonereductase"
1.6.99.1,"NADPHdehydrogenase"
1.6.99.3,"NADHdehydrogenase"
1.6.99.5,"NADHdehydrogenase(quinone)"
1.7.1.1,"Nitratereductase(NADH)"
1.7.1.13,"PreQ(1)synthase"
1.7.1.2,"Nitratereductase(NAD(P)H)"
1.7.1.3,"Nitratereductase(NADPH)"
1.7.1.4,"Nitritereductase(NAD(P)H)"
1.7.1.6,"Azobenzenereductase"
1.7.1.7,"GMPreductase"
1.7.2.1,"Nitritereductase(NO-forming)"
1.7.2.2,"Nitritereductase(cytochrome;ammonia-forming)"
1.7.2.3,"Trimethylamine-N-oxidereductase(cytochromec)"
1.7.3.3,"Urateoxidase"
1.7.3.4,"Hydroxylamineoxidase"
1.7.7.1,"Ferredoxin--nitritereductase"
1.7.99.1,"Hydroxylaminereductase"
1.7.99.4,"Nitratereductase"
1.7.99.6,"Nitrous-oxidereductase"
1.7.99.7,"Nitric-oxidereductase"
1.8.1.12,"Trypanothione-disulfidereductase"
1.8.1.14,"CoA-disulfidereductase"
1.8.1.2,"Sulfitereductase(NADPH)"
1.8.1.4,"Dihydrolipoyldehydrogenase"
1.8.1.5,"2-oxopropyl-CoMreductase(carboxylating)"
1.8.1.7,"Glutathione-disulfidereductase"
1.8.1.8,"Protein-disulfidereductase"
1.8.1.9,"Thioredoxin-disulfidereductase"
1.8.3.1,"Sulfiteoxidase"
1.8.3.2,"Thioloxidase"
1.8.3.5,"Prenylcysteineoxidase"
1.8.4.11,"Peptide-methionine(S)-S-oxidereductase"
1.8.4.12,"Peptide-methionine(R)-S-oxidereductase"
1.8.4.2,"Protein-disulfidereductase(glutathione)"
1.8.4.8,"Phosphoadenylyl-sulfatereductase(thioredoxin)"
1.8.4.9,"Adenylyl-sulfatereductase(glutathione)"
1.8.7.1,"Sulfitereductase(ferredoxin)"
1.8.98.1,"CoB--CoMheterodisulfidereductase"
1.8.98.2,"Sulfiredoxin"
1.8.99.3,"Hydrogensulfitereductase"
1.9.3.1,"Cytochrome-coxidase"
1.97.1.1,"Chloratereductase"
1.97.1.10,"Thyroxine5{prime}-deiodinase"
1.97.1.11,"Thyroxine5-deiodinase"
1.97.1.2,"Pyrogallolhydroxytransferase"
1.97.1.4,"[Formate-C-acetyltransferase]-activatingenzyme"
1.97.1.9,"Selenatereductase"
2.1.1.1,"NicotinamideN-methyltransferase"
2.1.1.10,"HomocysteineS-methyltransferase"
2.1.1.100,"Protein-S-isoprenylcysteineO-methyltransferase"
2.1.1.103,"PhosphoethanolamineN-methyltransferase"
2.1.1.104,"Caffeoyl-CoAO-methyltransferase"
2.1.1.107,"Uroporphyrinogen-IIIC-methyltransferase"
2.1.1.11,"MagnesiumprotoporphyrinIXmethyltransferase"
2.1.1.110,"Sterigmatocystin8-O-methyltransferase"
2.1.1.113,"Site-specificDNA-methyltransferase(cytosine-N(4)-specific)"
2.1.1.114,"Hexaprenyldihydroxybenzoatemethyltransferase"
2.1.1.116,"3{prime}-hydroxy-N-methyl-(S)-coclaurine4{prime}-O-methyltransferase"
2.1.1.117,"(S)-scoulerine9-O-methyltransferase"
2.1.1.118,"ColumbamineO-methyltransferase"
2.1.1.12,"MethionineS-methyltransferase"
2.1.1.125,"Histone-arginineN-methyltransferase"
2.1.1.127,"[Ribulose-bisphosphatecarboxylase]-lysineN-methyltransferase"
2.1.1.128,"(RS)-norcoclaurine6-O-methyltransferase"
2.1.1.129,"Inositol4-methyltransferase"
2.1.1.13,"Methioninesynthase"
2.1.1.130,"Precorrin-2C(20)-methyltransferase"
2.1.1.131,"Precorrin-3BC(17)-methyltransferase"
2.1.1.132,"Precorrin-6YC(5,15)-methyltransferase(decarboxylating)"
2.1.1.133,"Precorrin-4C(11)-methyltransferase"
2.1.1.137,"Arsenitemethyltransferase"
2.1.1.14,"5-methyltetrahydropteroyltriglutamate--homocysteineS-methyltransferase"
2.1.1.141,"JasmonateO-methyltransferase"
2.1.1.143,"24-methylenesterolC-methyltransferase"
2.1.1.144,"Trans-aconitate2-methyltransferase"
2.1.1.145,"Trans-aconitate3-methyltransferase"
2.1.1.146,"(Iso)eugenolO-methyltransferase"
2.1.1.148,"Thymidylatesynthase(FAD)"
2.1.1.150,"Isoflavone7-O-methyltransferase"
2.1.1.151,"Cobalt-factorIIC(20)-methyltransferase"
2.1.1.152,"Precorrin-6Asynthase(deacetylating)"
2.1.1.16,"Methylene-fatty-acyl-phospholipidsynthase"
2.1.1.17,"PhosphatidylethanolamineN-methyltransferase"
2.1.1.2,"GuanidinoacetateN-methyltransferase"
2.1.1.20,"GlycineN-methyltransferase"
2.1.1.28,"PhenylethanolamineN-methyltransferase"
2.1.1.29,"tRNA(cytosine-5-)-methyltransferase"
2.1.1.31,"tRNA(guanine-N(1)-)-methyltransferase"
2.1.1.32,"tRNA(guanine-N(2)-)-methyltransferase"
2.1.1.33,"tRNA(guanine-N(7)-)-methyltransferase"
2.1.1.34,"tRNAguanosine-2{prime}-O-methyltransferase"
2.1.1.35,"tRNA(uracil-5-)-methyltransferase"
2.1.1.36,"tRNA(adenine-N(1)-)-methyltransferase"
2.1.1.37,"DNA(cytosine-5-)-methyltransferase"
2.1.1.38,"O-demethylpuromycinO-methyltransferase"
2.1.1.4,"AcetylserotoninO-methyltransferase"
2.1.1.41,"Sterol24-C-methyltransferase"
2.1.1.43,"Histone-lysineN-methyltransferase"
2.1.1.45,"Thymidylatesynthase"
2.1.1.48,"rRNA(adenine-N(6)-)-methyltransferase"
2.1.1.49,"AmineN-methyltransferase"
2.1.1.5,"Betaine--homocysteineS-methyltransferase"
2.1.1.51,"rRNA(guanine-N(1)-)-methyltransferase"
2.1.1.52,"rRNA(guanine-N(2)-)-methyltransferase"
2.1.1.53,"PutrescineN-methyltransferase"
2.1.1.56,"mRNA(guanine-N(7)-)-methyltransferase"
2.1.1.57,"mRNA(nucleoside-2{prime}-O-)-methyltransferase"
2.1.1.59,"[Cytochromec]-lysineN-methyltransferase"
2.1.1.6,"CatecholO-methyltransferase"
2.1.1.62,"mRNA(2{prime}-O-methyladenosine-N(6)-)-methyltransferase"
2.1.1.63,"Methylated-DNA--[protein]-cysteineS-methyltransferase"
2.1.1.64,"3-demethylubiquinone-93-O-methyltransferase"
2.1.1.66,"rRNA(adenosine-2{prime}-O-)-methyltransferase"
2.1.1.67,"ThiopurineS-methyltransferase"
2.1.1.68,"CaffeateO-methyltransferase"
2.1.1.72,"Site-specificDNA-methyltransferase(adenine-specific)"
2.1.1.74,"(FADH(2)-oxidizing)"
2.1.1.76,"Quercetin3-O-methyltransferase"
2.1.1.77,"Protein-L-isoaspartate(D-aspartate)O-methyltransferase"
2.1.1.79,"Cyclopropane-fatty-acyl-phospholipidsynthase"
2.1.1.8,"HistamineN-methyltransferase"
2.1.1.80,"Protein-glutamateO-methyltransferase"
2.1.1.86,"TetrahydromethanopterinS-methyltransferase"
2.1.1.95,"TocopherolO-methyltransferase"
2.1.1.98,"Diphthinesynthase"
2.1.2.1,"Glycinehydroxymethyltransferase"
2.1.2.10,"Aminomethyltransferase"
2.1.2.11,"3-methyl-2-oxobutanoatehydroxymethyltransferase"
2.1.2.2,"Phosphoribosylglycinamideformyltransferase"
2.1.2.3,"Phosphoribosylaminoimidazolecarboxamideformyltransferase"
2.1.2.5,"Glutamateformimidoyltransferase"
2.1.2.8,"Deoxycytidylate5-hydroxymethyltransferase"
2.1.2.9,"Methionyl-tRNAformyltransferase"
2.1.3.1,"Methylmalonyl-CoAcarboxytransferase"
2.1.3.2,"Aspartatecarbamoyltransferase"
2.1.3.3,"Ornithinecarbamoyltransferase"
2.1.3.9,"N-acetylornithinecarbamoyltransferase"
2.1.4.1,"Glycineamidinotransferase"
2.1.4.2,"Scyllo-inosamine-4-phosphateamidinotransferase"
2.2.1.1,"Transketolase"
2.2.1.2,"Transaldolase"
2.2.1.3,"Formaldehydetransketolase"
2.2.1.6,"Acetolactatesynthase"
2.2.1.7,"1-deoxy-D-xylulose-5-phosphatesynthase"
2.2.1.9,"synthase"
2.3.1.1,"Amino-acidN-acetyltransferase"
2.3.1.101,"Formylmethanofuran--tetrahydromethanopterinN-formyltransferase"
2.3.1.107,"DeacetylvindolineO-acetyltransferase"
2.3.1.109,"ArginineN-succinyltransferase"
2.3.1.110,"TyramineN-feruloyltransferase"
2.3.1.111,"Mycocerosatesynthase"
2.3.1.117,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylateN-succinyltransferase"
2.3.1.118,"N-hydroxyarylamineO-acetyltransferase"
2.3.1.119,"Icosanoyl-CoAsynthase"
2.3.1.12,"Dihydrolipoyllysine-residueacetyltransferase"
2.3.1.128,"Ribosomal-protein-alanineN-acetyltransferase"
2.3.1.129,"Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamineO-acyltransferase"
2.3.1.13,"GlycineN-acyltransferase"
2.3.1.135,"Phosphatidylcholine--retinolO-acyltransferase"
2.3.1.137,"CarnitineO-octanoyltransferase"
2.3.1.144,"AnthranilateN-benzoyltransferase"
2.3.1.15,"Glycerol-3-phosphateO-acyltransferase"
2.3.1.150,"Salutaridinol7-O-acetyltransferase"
2.3.1.153,"Anthocyanin5-aromaticacyltransferase"
2.3.1.156,"Phloroisovalerophenonesynthase"
2.3.1.157,"Glucosamine-1-phosphateN-acetyltransferase"
2.3.1.158,"Phospholipid:diacylglycerolacyltransferase"
2.3.1.159,"Acridonesynthase"
2.3.1.16,"Acetyl-CoAC-acyltransferase"
2.3.1.160,"Vinorinesynthase"
2.3.1.161,"Lovastatinnonaketidesynthase"
2.3.1.162,"Taxadien-5-alpha-olO-acetyltransferase"
2.3.1.164,"Isopenicillin-NN-acyltransferase"
2.3.1.165,"6-methylsalicylicacidsynthase"
2.3.1.166,"2-alpha-hydroxytaxane2-O-benzoyltransferase"
2.3.1.167,"10-deacetylbaccatinIII10-O-acetyltransferase"
2.3.1.168,"Dihydrolipoyllysine-residue(2-methylpropanoyl)transferase"
2.3.1.169,"CO-methylatingacetyl-CoAsynthase"
2.3.1.170,"6{prime}-deoxychalconesynthase"
2.3.1.174,"3-oxoadipyl-CoAthiolase"
2.3.1.175,"Deacetylcephalosporin-Cacetyltransferase"
2.3.1.176,"Propanoyl-CoAC-acyltransferase"
2.3.1.178,"Diaminobutyrateacetyltransferase"
2.3.1.179,"Beta-ketoacyl-acyl-carrier-proteinsynthaseII"
2.3.1.18,"GalactosideO-acetyltransferase"
2.3.1.180,"Beta-ketoacyl-acyl-carrier-proteinsynthaseIII"
2.3.1.181,"Lipoyl(octanoyl)transferase"
2.3.1.182,"(R)-citramalatesynthase"
2.3.1.183,"Phosphinothricinacetyltransferase"
2.3.1.184,"Acyl-homoserine-lactonesynthase"
2.3.1.19,"Phosphatebutyryltransferase"
2.3.1.20,"DiacylglycerolO-acyltransferase"
2.3.1.21,"CarnitineO-palmitoyltransferase"
2.3.1.22,"2-acylglycerolO-acyltransferase"
2.3.1.23,"1-acylglycerophosphocholineO-acyltransferase"
2.3.1.24,"SphingosineN-acyltransferase"
2.3.1.26,"SterolO-acyltransferase"
2.3.1.28,"ChloramphenicolO-acetyltransferase"
2.3.1.29,"GlycineC-acetyltransferase"
2.3.1.30,"SerineO-acetyltransferase"
2.3.1.31,"HomoserineO-acetyltransferase"
2.3.1.32,"LysineN-acetyltransferase"
2.3.1.35,"GlutamateN-acetyltransferase"
2.3.1.37,"5-aminolevulinatesynthase"
2.3.1.38,"[Acyl-carrier-protein]S-acetyltransferase"
2.3.1.39,"[Acyl-carrier-protein]S-malonyltransferase"
2.3.1.4,"Glucosamine-phosphateN-acetyltransferase"
2.3.1.40,"Acyl-[acyl-carrier-protein]--phospholipidO-acyltransferase"
2.3.1.41,"Beta-ketoacyl-acyl-carrier-proteinsynthaseI"
2.3.1.42,"Glycerone-phosphateO-acyltransferase"
2.3.1.43,"Phosphatidylcholine--sterolO-acyltransferase"
2.3.1.46,"HomoserineO-succinyltransferase"
2.3.1.47,"8-amino-7-oxononanoatesynthase"
2.3.1.48,"Histoneacetyltransferase"
2.3.1.5,"ArylamineN-acetyltransferase"
2.3.1.50,"SerineC-palmitoyltransferase"
2.3.1.51,"1-acylglycerol-3-phosphateO-acyltransferase"
2.3.1.54,"FormateC-acetyltransferase"
2.3.1.57,"DiamineN-acetyltransferase"
2.3.1.59,"Gentamicin2{prime}-N-acetyltransferase"
2.3.1.6,"CholineO-acetyltransferase"
2.3.1.60,"Gentamicin3{prime}-N-acetyltransferase"
2.3.1.61,"Dihydrolipoyllysine-residuesuccinyltransferase"
2.3.1.65,"Bileacid-CoA:aminoacidN-acyltransferase"
2.3.1.7,"CarnitineO-acetyltransferase"
2.3.1.74,"Naringenin-chalconesynthase"
2.3.1.75,"Long-chain-alcoholO-fatty-acyltransferase"
2.3.1.78,"Heparan-alpha-glucosaminideN-acetyltransferase"
2.3.1.79,"MaltoseO-acetyltransferase"
2.3.1.8,"Phosphateacetyltransferase"
2.3.1.81,"AminoglycosideN(3{prime})-acetyltransferase"
2.3.1.82,"AminoglycosideN(6{prime})-acetyltransferase"
2.3.1.84,"AlcoholO-acetyltransferase"
2.3.1.85,"Fatty-acidsynthase"
2.3.1.86,"Fatty-acyl-CoAsynthase"
2.3.1.87,"AralkylamineN-acetyltransferase"
2.3.1.88,"Peptidealpha-N-acetyltransferase"
2.3.1.89,"TetrahydrodipicolinateN-acetyltransferase"
2.3.1.9,"Acetyl-CoAC-acetyltransferase"
2.3.1.91,"Sinapoylglucose--cholineO-sinapoyltransferase"
2.3.1.92,"Sinapoylglucose--malateO-sinapoyltransferase"
2.3.1.94,"6-deoxyerythronolide-Bsynthase"
2.3.1.95,"Trihydroxystilbenesynthase"
2.3.1.97,"GlycylpeptideN-tetradecanoyltransferase"
2.3.2.13,"Protein-glutaminegamma-glutamyltransferase"
2.3.2.15,"Glutathionegamma-glutamylcysteinyltransferase"
2.3.2.2,"Gamma-glutamyltransferase"
2.3.2.4,"Gamma-glutamylcyclotransferase"
2.3.2.5,"Glutaminyl-peptidecyclotransferase"
2.3.2.6,"Leucyltransferase"
2.3.2.8,"Arginyltransferase"
2.3.3.1,"Citrate(Si)-synthase"
2.3.3.10,"Hydroxymethylglutaryl-CoAsynthase"
2.3.3.13,"2-isopropylmalatesynthase"
2.3.3.14,"Homocitratesynthase"
2.3.3.15,"Sulfoacetaldehydeacetyltransferase"
2.3.3.5,"2-methylcitratesynthase"
2.3.3.8,"ATPcitratesynthase"
2.3.3.9,"Malatesynthase"
2.4.1.1,"Phosphorylase"
2.4.1.10,"Levansucrase"
2.4.1.100,"2,1-fructan:2,1-fructan1-fructosyltransferase"
2.4.1.101,"Alpha-1,3-mannosyl-glycoprotein2-beta-N-acetylglucosaminyltransferase"
2.4.1.109,"Dolichyl-phosphate-mannose-proteinmannosyltransferase"
2.4.1.11,"Glycogen(starch)synthase"
2.4.1.115,"Anthocyanidin3-O-glucosyltransferase"
2.4.1.117,"Dolichyl-phosphatebeta-glucosyltransferase"
2.4.1.119,"Dolichyl-diphosphooligosaccharide--proteinglycotransferase"
2.4.1.12,"Cellulosesynthase(UDP-forming)"
2.4.1.121,"Indole-3-acetatebeta-glucosyltransferase"
2.4.1.122,"Glycoprotein-N-acetylgalactosamine3-beta-galactosyltransferase"
2.4.1.129,"Peptidoglycanglycosyltransferase"
2.4.1.13,"Sucrosesynthase"
2.4.1.130,"Dolichyl-phosphate-mannose--glycolipidalpha-mannosyltransferase"
2.4.1.131,"Glycolipid2-alpha-mannosyltransferase"
2.4.1.133,"Xylosylprotein4-beta-galactosyltransferase"
2.4.1.134,"Galactosylxylosylprotein3-beta-galactosyltransferase"
2.4.1.135,"Galactosylgalactosylxylosylprotein3-beta-glucuronosyltransferase"
2.4.1.14,"Sucrose-phosphatesynthase"
2.4.1.141,"N-acetylglucosaminyldiphosphodolicholN-acetylglucosaminyltransferase"
2.4.1.142,"Chitobiosyldiphosphodolicholbeta-mannosyltransferase"
2.4.1.143,"Alpha-1,6-mannosyl-glycoprotein2-beta-N-acetylglucosaminyltransferase"
2.4.1.144,"Beta-1,4-mannosyl-glycoprotein4-beta-N-acetylglucosaminyltransferase"
2.4.1.145,"Alpha-1,3-mannosyl-glycoprotein4-beta-N-acetylglucosaminyltransferase"
2.4.1.149,"N-acetyllactosaminidebeta-1,3-N-acetylglucosaminyltransferase"
2.4.1.15,"Alpha,alpha-trehalose-phosphatesynthase(UDP-forming)"
2.4.1.150,"N-acetyllactosaminidebeta-1,6-N-acetylglucosaminyl-transferase"
2.4.1.155,"Alpha-1,6-mannosyl-glycoprotein6-beta-N-acetylglucosaminyltransferase"
2.4.1.159,"Flavonol-3-O-glucosideL-rhamnosyltransferase"
2.4.1.16,"Chitinsynthase"
2.4.1.17,"Glucuronosyltransferase"
2.4.1.173,"Sterol3-beta-glucosyltransferase"
2.4.1.18,"1,4-alpha-glucanbranchingenzyme"
2.4.1.182,"Lipid-A-disaccharidesynthase"
2.4.1.183,"Alpha-1,3-glucansynthase"
2.4.1.186,"Glycogeninglucosyltransferase"
2.4.1.187,"mannosaminyltransferase"
2.4.1.19,"Cyclomaltodextringlucanotransferase"
2.4.1.195,"N-hydroxythioamideS-beta-glucosyltransferase"
2.4.1.198,"PhosphatidylinositolN-acetylglucosaminyltransferase"
2.4.1.203,"Trans-zeatinO-beta-D-glucosyltransferase"
2.4.1.207,"Xyloglucan:xyloglucosyltransferase"
2.4.1.21,"Starchsynthase"
2.4.1.210,"Limonoidglucosyltransferase"
2.4.1.212,"Hyaluronansynthase"
2.4.1.213,"Glucosylglycerol-phosphatesynthase"
2.4.1.214,"Glycoprotein3-alpha-L-fucosyltransferase"
2.4.1.215,"Cis-zeatinO-beta-D-glucosyltransferase"
2.4.1.216,"Trehalose6-phosphatephosphorylase"
2.4.1.217,"Mannosyl-3-phosphoglyceratesynthase"
2.4.1.218,"Hydroquinoneglucosyltransferase"
2.4.1.22,"Lactosesynthase"
2.4.1.221,"Peptide-O-fucosyltransferase"
2.4.1.222,"O-fucosylpeptide3-beta-N-acetylglucosaminyltransferase"
2.4.1.225,"N-acetylglucosaminyl-proteoglycan4-beta-glucuronosyltransferase"
2.4.1.226,"N-acetylgalactosaminyl-proteoglycan3-beta-glucuronosyltransferase"
2.4.1.228,"Lactosylceramide4-alpha-galactosyltransferase"
2.4.1.229,"[Skp1-protein]-hydroxyprolineN-acetylglucosaminyltransferase"
2.4.1.230,"Kojibiosephosphorylase"
2.4.1.232,"Initiation-specificalpha-1,6-mannosyltransferase"
2.4.1.234,"Kaempferol3-O-galactosyltransferase"
2.4.1.236,"Flavanone7-O-glucoside2{prime}{prime}-O-beta-L-rhamnosyltransferase"
2.4.1.238,"Anthocyanin3{prime}-O-beta-glucosyltransferase"
2.4.1.241,"Digalactosyldiacylglycerolsynthase"
2.4.1.242,"NDP-glucose--starchglucosyltransferase"
2.4.1.243,"6(G)-fructosyltransferase"
