1.1.1.1,"Alcoholdehydrogenase"
2.4.1.244,"acetylgalactosaminyltransferase"
2.4.1.25,"4-alpha-glucanotransferase"
2.4.1.26,"DNAalpha-glucosyltransferase"
2.4.1.27,"DNAbeta-glucosyltransferase"
2.4.1.32,"Glucomannan4-beta-mannosyltransferase"
2.4.1.34,"1,3-beta-glucansynthase"
2.4.1.37,"Fucosylgalactoside3-alpha-galactosyltransferase"
2.4.1.38,"Beta-N-acetylglucosaminylglycopeptidebeta-1,4-galactosyltransferase"
2.4.1.4,"Amylosucrase"
2.4.1.40,"Glycoprotein-fucosylgalactosidealpha-N-acetylgalactosaminyltransferase"
2.4.1.41,"PolypeptideN-acetylgalactosaminyltransferase"
2.4.1.44,"Lipopolysaccharide3-alpha-galactosyltransferase"
2.4.1.45,"2-hydroxyacylsphingosine1-beta-galactosyltransferase"
2.4.1.46,"Monogalactosyldiacylglycerolsynthase"
2.4.1.5,"Dextransucrase"
2.4.1.52,"Poly(glycerol-phosphate)alpha-glucosyltransferase"
2.4.1.56,"LipopolysaccharideN-acetylglucosaminyltransferase"
2.4.1.57,"Phosphatidylinositolalpha-mannosyltransferase"
2.4.1.58,"LipopolysaccharideglucosyltransferaseI"
2.4.1.62,"Gangliosidegalactosyltransferase"
2.4.1.65,"3-galactosyl-N-acetylglucosaminide4-alpha-L-fucosyltransferase"
2.4.1.67,"Galactinol--raffinosegalactosyltransferase"
2.4.1.68,"Glycoprotein6-alpha-L-fucosyltransferase"
2.4.1.69,"Galactoside2-alpha-L-fucosyltransferase"
2.4.1.7,"Sucrosephosphorylase"
2.4.1.79,"Globotriaosylceramide3-beta-N-acetylgalactosaminyltransferase"
2.4.1.80,"Ceramideglucosyltransferase"
2.4.1.83,"Dolichyl-phosphatebeta-D-mannosyltransferase"
2.4.1.85,"Cyanohydrinbeta-glucosyltransferase"
2.4.1.87,"N-acetyllactosaminide3-alpha-galactosyltransferase"
2.4.1.88,"Globosidealpha-N-acetylgalactosaminyltransferase"
2.4.1.90,"N-acetyllactosaminesynthase"
2.4.1.92,"N-acetylgalactosaminyltransferase"
2.4.2.1,"Purine-nucleosidephosphorylase"
2.4.2.10,"Orotatephosphoribosyltransferase"
2.4.2.11,"Nicotinatephosphoribosyltransferase"
2.4.2.12,"Nicotinamidephosphoribosyltransferase"
2.4.2.14,"Amidophosphoribosyltransferase"
2.4.2.17,"ATPphosphoribosyltransferase"
2.4.2.18,"Anthranilatephosphoribosyltransferase"
2.4.2.19,"Nicotinate-nucleotidediphosphorylase(carboxylating)"
2.4.2.2,"Pyrimidine-nucleosidephosphorylase"
2.4.2.21,"Nicotinate-nucleotide--dimethylbenzimidazolephosphoribosyltransferase"
2.4.2.22,"Xanthinephosphoribosyltransferase"
2.4.2.26,"Proteinxylosyltransferase"
2.4.2.27,"dihydrostreptosyltransferase"
2.4.2.28,"S-methyl-5{prime}-thioadenosinephosphorylase"
2.4.2.29,"tRNA-guaninetransglycosylase"
2.4.2.3,"Uridinephosphorylase"
2.4.2.30,"NAD(+)ADP-ribosyltransferase"
2.4.2.31,"NAD(+)--protein-arginineADP-ribosyltransferase"
2.4.2.36,"NAD(+)--diphthamideADP-ribosyltransferase"
2.4.2.37,"NAD(+)--dinitrogen-reductaseADP-D-ribosyltransferase"
2.4.2.38,"Glycoprotein2-beta-D-xylosyltransferase"
2.4.2.39,"Xyloglucan6-xylosyltransferase"
2.4.2.4,"Thymidinephosphorylase"
2.4.2.40,"ZeatinO-beta-D-xylosyltransferase"
2.4.2.6,"Nucleosidedeoxyribosyltransferase"
2.4.2.7,"Adeninephosphoribosyltransferase"
2.4.2.8,"Hypoxanthinephosphoribosyltransferase"
2.4.2.9,"Uracilphosphoribosyltransferase"
2.4.99.1,"Beta-galactosidealpha-2,6-sialyltransferase"
2.4.99.3,"Alpha-N-acetylgalactosaminidealpha-2,6-sialyltransferase"
2.4.99.4,"Beta-galactosidealpha-2,3-sialyltransferase"
2.4.99.6,"N-acetyllactosaminidealpha-2,3-sialyltransferase"
2.4.99.7,"6-alpha-sialyltransferase"
2.4.99.8,"Alpha-N-acetylneuraminatealpha-2,8-sialyltransferase"
2.4.99.9,"Lactosylceramidealpha-2,3-sialyltransferase"
2.5.1.1,"Dimethylallyltranstransferase"
2.5.1.10,"Geranyltranstransferase"
2.5.1.15,"Dihydropteroatesynthase"
2.5.1.16,"Spermidinesynthase"
2.5.1.17,"Cob(I)yrinicacida,c-diamideadenosyltransferase"
2.5.1.18,"Glutathionetransferase"
2.5.1.19,"3-phosphoshikimate1-carboxyvinyltransferase"
2.5.1.2,"Thiaminepyridinylase"
2.5.1.21,"Squalenesynthase"
2.5.1.22,"Sperminesynthase"
2.5.1.26,"Alkylglycerone-phosphatesynthase"
2.5.1.29,"Farnesyltranstransferase"
2.5.1.3,"Thiamine-phosphatediphosphorylase"
2.4.1.227,"Undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase"
2.5.1.30,"Trans-hexaprenyltranstransferase"
2.5.1.31,"Di-trans,poly-cis-decaprenylcistransferase"
2.5.1.32,"Phytoenesynthase"
2.5.1.34,"Tryptophandimethylallyltransferase"
2.5.1.41,"Phosphoglycerolgeranylgeranyltransferase"
2.5.1.42,"Geranylgeranylglycerol-phosphategeranylgeranyltransferase"
2.5.1.43,"Nicotianaminesynthase"
2.5.1.44,"Homospermidinesynthase"
2.5.1.45,"Homospermidinesynthase(spermidine-specific)"
2.5.1.46,"Deoxyhypusinesynthase"
2.5.1.47,"Cysteinesynthase"
2.5.1.48,"Cystathioninegamma-synthase"
2.5.1.49,"O-acetylhomoserineaminocarboxypropyltransferase"
2.5.1.51,"Beta-pyrazolylalaninesynthase"
2.5.1.52,"L-mimosinesynthase"
2.5.1.54,"3-deoxy-7-phosphoheptulonatesynthase"
2.5.1.55,"3-deoxy-8-phosphooctulonatesynthase"
2.5.1.56,"N-acetylneuraminatesynthase"
2.5.1.57,"N-acylneuraminate-9-phosphatesynthase"
2.5.1.58,"Proteinfarnesyltransferase"
2.5.1.59,"ProteingeranylgeranyltransferasetypeI"
2.5.1.6,"Methionineadenosyltransferase"
2.5.1.60,"ProteingeranylgeranyltransferasetypeII"
2.5.1.61,"Hydroxymethylbilanesynthase"
2.5.1.62,"Chlorophyllsynthase"
2.5.1.65,"O-phosphoserinesulfhydrylase"
2.5.1.67,"Chrysanthemyldiphosphatesynthase"
2.5.1.68,"Z-farnesyldiphosphatesynthase"
2.5.1.7,"UDP-N-acetylglucosamine1-carboxyvinyltransferase"
2.5.1.72,"Quinolinatesynthase"
2.5.1.8,"tRNAisopentenyltransferase"
2.5.1.9,"Riboflavinsynthase"
2.6.1.1,"Aspartatetransaminase"
2.6.1.11,"Acetylornithinetransaminase"
2.6.1.13,"Ornithineaminotransferase"
2.6.1.16,"Glutamine--fructose-6-phosphatetransaminase(isomerizing)"
2.6.1.17,"Succinyldiaminopimelatetransaminase"
2.6.1.18,"Beta-alanine--pyruvatetransaminase"
2.6.1.19,"4-aminobutyratetransaminase"
2.6.1.2,"Alaninetransaminase"
2.6.1.21,"D-amino-acidtransaminase"
2.6.1.22,"(S)-3-amino-2-methylpropionatetransaminase"
2.6.1.36,"L-lysine6-transaminase"
2.6.1.37,"2-aminoethylphosphonate--pyruvatetransaminase"
2.6.1.39,"2-aminoadipatetransaminase"
2.6.1.40,"(R)-3-amino-2-methylpropionate--pyruvatetransaminase"
2.6.1.42,"Branched-chain-amino-acidtransaminase"
2.6.1.44,"Alanine--glyoxylatetransaminase"
2.6.1.45,"Serine--glyoxylatetransaminase"
2.6.1.5,"Tyrosinetransaminase"
2.6.1.50,"Glutamine--scyllo-inositoltransaminase"
2.6.1.51,"Serine--pyruvatetransaminase"
2.6.1.52,"Phosphoserinetransaminase"
2.6.1.57,"Aromatic-amino-acidtransaminase"
2.6.1.62,"Adenosylmethionine--8-amino-7-oxononanoatetransaminase"
2.6.1.64,"Glutamine--phenylpyruvatetransaminase"
2.6.1.66,"Valine--pyruvatetransaminase"
2.6.1.7,"Kynurenine--oxoglutaratetransaminase"
2.6.1.76,"Diaminobutyrate--2-oxoglutaratetransaminase"
2.6.1.77,"Taurine--pyruvateaminotransferase"
2.6.1.81,"Succinylornithinetransaminase"
2.6.1.82,"Putrescineaminotransferase"
2.6.1.83,"LL-diaminopimelateaminotransferase"
2.6.1.85,"Aminodeoxychorismatesynthase"
2.6.1.9,"Histidinol-phosphatetransaminase"
2.6.99.2,"Pyridoxine5{prime}-phosphatesynthase"
2.7.1.1,"Hexokinase"
2.7.1.100,"S-methyl-5-thioribosekinase"
2.7.1.103,"Viomycinkinase"
2.7.1.105,"6-phosphofructo-2-kinase"
2.7.1.106,"Glucose-1,6-bisphosphatesynthase"
2.7.1.107,"Diacylglycerolkinase"
2.7.1.108,"Dolicholkinase"
2.7.1.11,"6-phosphofructokinase"
2.7.1.113,"Deoxyguanosinekinase"
2.7.1.119,"Hygromycin-Bkinase"
2.7.1.12,"Gluconokinase"
2.7.1.127,"Inositol-trisphosphate3-kinase"
2.7.1.130,"Tetraacyldisaccharide4{prime}-kinase"
2.7.1.134,"Inositol-tetrakisphosphate1-kinase"
2.7.1.137,"Phosphatidylinositol3-kinase"
2.7.1.138,"Ceramidekinase"
2.7.1.14,"Sedoheptulokinase"
2.7.1.140,"Inositol-tetrakisphosphate5-kinase"
2.7.1.144,"Tagatose-6-phosphatekinase"
2.7.1.145,"Deoxynucleosidekinase"
2.7.1.146,"ADP-specificphosphofructokinase"
2.7.1.147,"ADP-specificglucokinase"
2.7.1.148,"4-(cytidine5{prime}-diphospho)-2-C-methyl-D-erythritolkinase"
2.7.1.149,"1-phosphatidylinositol-5-phosphate4-kinase"
2.7.1.15,"Ribokinase"
2.7.1.150,"1-phosphatidylinositol-3-phosphate5-kinase"
2.7.1.151,"Inositol-polyphosphatemultikinase"
2.7.1.153,"Phosphatidylinositol-4,5-bisphosphate3-kinase"
2.7.1.154,"Phosphatidylinositol-4-phosphate3-kinase"
2.7.1.156,"Adenosylcobinamidekinase"
2.7.1.157,"N-acetylgalactosaminekinase"
2.7.1.158,"Inositol-pentakisphosphate2-kinase"
2.7.1.159,"Inositol-1,3,4-trisphosphate5/6-kinase"
2.7.1.16,"Ribulokinase"
2.7.1.160,"2{prime}-phosphotransferase"
2.7.1.161,"CTP-dependentriboflavinkinase"
2.7.1.17,"Xylulokinase"
2.7.1.19,"Phosphoribulokinase"
2.7.1.2,"Glucokinase"
2.7.1.20,"Adenosinekinase"
2.7.1.21,"Thymidinekinase"
2.7.1.22,"Ribosylnicotinamidekinase"
2.7.1.23,"NAD(+)kinase"
2.7.1.24,"Dephospho-CoAkinase"
2.7.1.25,"Adenylyl-sulfatekinase"
2.7.1.26,"Riboflavinkinase"
2.7.1.29,"Glyceronekinase"
2.7.1.3,"Ketohexokinase"
2.7.1.30,"Glycerolkinase"
2.7.1.31,"Glyceratekinase"
2.7.1.32,"Cholinekinase"
2.7.1.33,"Pantothenatekinase"
2.7.1.35,"Pyridoxalkinase"
2.7.1.36,"Mevalonatekinase"
2.7.1.39,"Homoserinekinase"
2.7.1.4,"Fructokinase"
2.7.1.40,"Pyruvatekinase"
2.7.1.45,"2-dehydro-3-deoxygluconokinase"
2.7.1.48,"Uridinekinase"
2.7.1.5,"Rhamnulokinase"
2.7.1.50,"Hydroxyethylthiazolekinase"
2.7.1.51,"L-fuculokinase"
2.7.1.52,"Fucokinase"
2.7.1.53,"L-xylulokinase"
2.7.1.55,"Allosekinase"
2.7.1.56,"1-phosphofructokinase"
2.7.1.58,"2-dehydro-3-deoxygalactonokinase"
2.7.1.59,"N-acetylglucosaminekinase"
2.7.1.6,"Galactokinase"
2.7.1.60,"N-acylmannosaminekinase"
2.7.1.63,"Polyphosphate--glucosephosphotransferase"
2.7.1.67,"1-phosphatidylinositol4-kinase"
2.7.1.68,"1-phosphatidylinositol-4-phosphate5-kinase"
2.7.1.69,"Protein-N(pi)-phosphohistidine--sugarphosphotransferase"
2.7.1.7,"Mannokinase"
2.7.1.71,"Shikimatekinase"
2.7.1.72,"Streptomycin6-kinase"
2.7.1.73,"Inosinekinase"
2.7.1.74,"Deoxycytidinekinase"
2.7.1.76,"Deoxyadenosinekinase"
2.7.1.78,"Polynucleotide5{prime}-hydroxyl-kinase"
2.7.1.82,"Ethanolaminekinase"
2.7.1.86,"NADHkinase"
2.7.1.87,"Streptomycin3{prime}{prime}-kinase"
2.7.1.89,"Thiaminekinase"
2.7.1.90,"Diphosphate--fructose-6-phosphate1-phosphotransferase"
2.7.1.91,"Sphinganinekinase"
2.7.1.92,"5-dehydro-2-deoxygluconokinase"
2.7.1.94,"Acylglycerolkinase"
2.7.1.95,"Kanamycinkinase"
2.7.10.1,"Receptorprotein-tyrosinekinase"
2.7.10.2,"Non-specificprotein-tyrosinekinase"
2.7.11.1,"Non-specificserine/threonineproteinkinase"
2.7.11.10,"I-kappa-Bkinase"
2.7.11.11,"cAMP-dependentproteinkinase"
2.7.11.12,"cGMP-dependentproteinkinase"
2.7.11.13,"ProteinkinaseC"
2.7.11.14,"Rhodopsinkinase"
2.7.11.15,"[Beta-adrenergic-receptor]kinase"
2.7.11.16,"[G-protein-coupledreceptor]kinase"
2.7.11.17,"Calcium/calmodulin-dependentproteinkinase"
2.7.11.18,"[Myosinlight-chain]kinase"
2.7.11.19,"Phosphorylasekinase"
2.7.11.2,"[Pyruvatedehydrogenase(acetyl-transferring)]kinase"
2.7.11.20,"[Elongationfactor2]kinase"
2.7.11.21,"Polokinase"
2.7.11.22,"Cyclin-dependentkinase"
2.7.11.23,"[RNA-polymerase]-subunitkinase"
2.7.11.24,"Mitogen-activatedproteinkinase"
2.7.11.25,"Mitogen-activatedproteinkinasekinasekinase"
2.7.11.26,"[Tauprotein]kinase"
2.7.11.30,"Receptorproteinserine/threoninekinase"
2.7.11.4,"[3-methyl-2-oxobutanoatedehydrogenase(acetyl-transferring)]kinase"
2.7.11.5,"[Isocitratedehydrogenase(NADP(+))]kinase"
2.7.11.7,"[Myosinheavy-chain]kinase"
2.7.11.8,"Fas-activatedserine/threoninekinase"
2.7.12.1,"Dual-specificitykinase"
2.7.12.2,"Mitogen-activatedproteinkinasekinase"
2.7.13.3,"Histidinekinase"
2.7.2.1,"Acetatekinase"
2.7.2.11,"Glutamate5-kinase"
2.7.2.15,"Propionatekinase"
2.7.2.2,"Carbamatekinase"
2.7.2.3,"Phosphoglyceratekinase"
2.7.2.4,"Aspartatekinase"
2.7.2.7,"Butyratekinase"
2.7.2.8,"Acetylglutamatekinase"
2.7.3.1,"Guanidinoacetatekinase"
2.7.3.2,"Creatinekinase"
2.7.3.3,"Argininekinase"
2.7.3.4,"Taurocyaminekinase"
2.7.3.5,"Lombricinekinase"
2.7.3.9,"Phosphoenolpyruvate--proteinphosphotransferase"
2.7.4.1,"Polyphosphatekinase"
2.7.4.10,"Nucleoside-triphosphate--adenylatekinase"
2.7.4.13,"(Deoxy)nucleoside-phosphatekinase"
2.7.4.14,"Cytidylatekinase"
2.7.4.16,"Thiamine-phosphatekinase"
2.7.4.2,"Phosphomevalonatekinase"
2.7.4.21,"Inositol-hexakisphosphatekinase"
2.7.4.22,"UMPkinase"
2.7.4.24,"Diphosphoinositol-pentakisphosphatekinase"
2.7.4.3,"Adenylatekinase"
2.7.4.6,"Nucleoside-diphosphatekinase"
2.7.4.7,"Phosphomethylpyrimidinekinase"
2.7.4.8,"Guanylatekinase"
2.7.4.9,"dTMPkinase"
2.7.6.1,"Ribose-phosphatediphosphokinase"
2.7.6.2,"Thiaminediphosphokinase"
2.7.6.3,"2-amino-4-hydroxy-6-hydroxymethyldihydropteridinediphosphokinase"
2.7.6.5,"GTPdiphosphokinase"
2.7.7.1,"Nicotinamide-nucleotideadenylyltransferase"
2.7.7.12,"UDP-glucose--hexose-1-phosphateuridylyltransferase"
2.7.7.13,"Mannose-1-phosphateguanylyltransferase"
2.7.7.14,"Ethanolamine-phosphatecytidylyltransferase"
2.7.7.15,"Choline-phosphatecytidylyltransferase"
2.7.7.18,"Nicotinate-nucleotideadenylyltransferase"
2.7.7.19,"Polynucleotideadenylyltransferase"
2.7.7.2,"FADsynthetase"
2.7.7.21,"tRNAcytidylyltransferase"
2.7.7.23,"UDP-N-acetylglucosaminediphosphorylase"
2.7.7.24,"Glucose-1-phosphatethymidylyltransferase"
2.7.7.25,"tRNAadenylyltransferase"
2.7.7.27,"Glucose-1-phosphateadenylyltransferase"
2.7.7.3,"Pantetheine-phosphateadenylyltransferase"
2.7.7.30,"Fucose-1-phosphateguanylyltransferase"
2.7.7.31,"DNAnucleotidylexotransferase"
2.7.7.33,"Glucose-1-phosphatecytidylyltransferase"
2.7.7.38,"3-deoxy-manno-octulosonatecytidylyltransferase"
2.7.7.39,"Glycerol-3-phosphatecytidylyltransferase"
2.7.7.4,"Sulfateadenylyltransferase"
2.7.7.40,"D-ribitol-5-phosphatecytidylyltransferase"
2.7.7.41,"Phosphatidatecytidylyltransferase"
2.7.7.42,"[Glutamate--ammonia-ligase]adenylyltransferase"
2.7.7.43,"N-acylneuraminatecytidylyltransferase"
2.7.7.46,"Gentamicin2{prime}{prime}-nucleotidyltransferase"
2.7.7.47,"Streptomycin3{prime}{prime}-adenylyltransferase"
2.7.7.48,"RNA-directedRNApolymerase"
2.7.7.49,"RNA-directedDNApolymerase"
2.7.7.5,"Sulfateadenylyltransferase(ADP)"
2.7.7.50,"mRNAguanylyltransferase"
2.7.7.52,"RNAuridylyltransferase"
2.7.7.53,"ATPadenylyltransferase"
2.7.7.56,"tRNAnucleotidyltransferase"
2.7.7.58,"(2,3-dihydroxybenzoyl)adenylatesynthase"
2.7.7.59,"[Protein-PII]uridylyltransferase"
2.7.7.6,"DNA-directedRNApolymerase"
2.7.7.60,"2-C-methyl-D-erythritol4-phosphatecytidylyltransferase"
2.7.7.61,"Citratelyaseholo-[acyl-carrier-protein]synthase"
2.7.7.62,"Adenosylcobinamide-phosphateguanylyltransferase"
2.7.7.63,"Lipoate--proteinligase"
2.7.7.64,"UTP-monosaccharide-1-phosphateuridylyltransferase"
2.7.7.65,"Diguanylatekinase"
2.7.7.66,"Malonatedecarboxylaseholo-[acyl-carrier-protein]synthase"
2.7.7.7,"DNA-directedDNApolymerase"
2.7.7.8,"Polyribonucleotidenucleotidyltransferase"
2.7.7.9,"UTP--glucose-1-phosphateuridylyltransferase"
2.7.8.1,"Ethanolaminephosphotransferase"
2.7.8.11,"CDP-diacylglycerol--inositol3-phosphatidyltransferase"
2.7.8.12,"CDP-glycerolglycerophosphotransferase"
2.7.8.13,"Phospho-N-acetylmuramoyl-pentapeptide-transferase"
2.7.8.14,"CDP-ribitolribitolphosphotransferase"
2.7.8.2,"Diacylglycerolcholinephosphotransferase"
2.7.8.20,"Phosphatidylglycerol--membrane-oligosaccharideglycerophosphotransferase"
2.7.8.23,"Carboxyvinyl-carboxyphosphonatephosphorylmutase"
2.7.8.24,"Phosphatidylcholinesynthase"
2.7.8.25,"Triphosphoribosyl-dephospho-CoAsynthase"
2.7.8.27,"Sphingomyelinsynthase"
2.7.8.5,"CDP-diacylglycerol--glycerol-3-phosphate3-phosphatidyltransferase"
2.7.8.6,"Undecaprenyl-phosphategalactosephosphotransferase"
2.7.8.7,"Holo-[acyl-carrier-protein]synthase"
2.7.8.8,"CDP-diacylglycerol--serineO-phosphatidyltransferase"
2.7.9.1,"Pyruvate,phosphatedikinase"
2.7.9.2,"Pyruvate,waterdikinase"
2.7.9.3,"Selenide,waterdikinase"
2.7.9.4,"Alpha-glucan,waterdikinase"
2.7.9.5,"Phosphoglucan,waterdikinase"
2.8.1.1,"Thiosulfatesulfurtransferase"
2.8.1.2,"3-mercaptopyruvatesulfurtransferase"
2.8.1.6,"Biotinsynthase"
2.8.1.7,"Cysteinedesulfurase"
2.8.1.8,"Lipoylsynthase"
2.8.2.1,"Arylsulfotransferase"
2.8.2.11,"Galactosylceramidesulfotransferase"
2.8.2.14,"Bile-saltsulfotransferase"
2.8.2.17,"Chondroitin6-sulfotransferase"
2.8.2.2,"Alcoholsulfotransferase"
2.8.2.20,"Protein-tyrosinesulfotransferase"
2.8.2.21,"Keratansulfotransferase"
2.8.2.23,"[Heparansulfate]-glucosamine3-sulfotransferase1"
2.8.2.29,"[Heparansulfate]-glucosamine3-sulfotransferase2"
2.8.2.3,"Aminesulfotransferase"
2.8.2.30,"[Heparansulfate]-glucosamine3-sulfotransferase3"
2.8.2.33,"N-acetylgalactosamine4-sulfate6-O-sulfotransferase"
2.8.2.4,"Estronesulfotransferase"
2.8.2.5,"Chondroitin4-sulfotransferase"
2.8.2.8,"[Heparansulfate]-glucosamineN-sulfotransferase"
2.8.3.10,"CitrateCoA-transferase"
2.8.3.12,"GlutaconateCoA-transferase"
2.8.3.16,"Formyl-CoAtransferase"
2.8.3.5,"3-oxoacidCoA-transferase"
2.8.3.6,"3-oxoadipateCoA-transferase"
2.8.3.8,"AcetateCoA-transferase"
2.8.3.9,"Butyrate--acetoacetateCoA-transferase"
2.8.4.1,"Coenzyme-Bsulfoethylthiotransferase"
2.9.1.1,"L-seryl-tRNA(Sec)seleniumtransferase"
3.1.1.1,"Carboxylesterase"
3.1.1.10,"Tropinesterase"
3.1.1.11,"Pectinesterase"
3.1.1.13,"Sterolesterase"
3.1.1.14,"Chlorophyllase"
3.1.1.17,"Gluconolactonase"
3.1.1.2,"Arylesterase"
3.1.1.20,"Tannase"
3.1.1.22,"Hydroxybutyrate-dimerhydrolase"
3.1.1.23,"Acylglycerollipase"
3.1.1.24,"3-oxoadipateenol-lactonase"
3.1.1.29,"Aminoacyl-tRNAhydrolase"
3.1.1.3,"Triacylglycerollipase"
3.1.1.31,"6-phosphogluconolactonase"
3.1.1.32,"PhospholipaseA(1)"
3.1.1.34,"Lipoproteinlipase"
3.1.1.4,"PhospholipaseA(2)"
3.1.1.41,"Cephalosporin-Cdeacetylase"
3.1.1.45,"Carboxymethylenebutenolidase"
3.1.1.47,"1-alkyl-2-acetylglycerophosphocholineesterase"
3.1.1.5,"Lysophospholipase"
3.1.1.53,"SialateO-acetylesterase"
3.1.1.59,"Juvenile-hormoneesterase"
3.1.1.61,"Protein-glutamatemethylesterase"
3.1.1.67,"Fatty-acyl-ethyl-estersynthase"
3.1.1.7,"Acetylcholinesterase"
3.1.1.72,"Acetylxylanesterase"
3.1.1.73,"Feruloylesterase"
3.1.1.74,"Cutinase"
3.1.1.75,"Poly(3-hydroxybutyrate)depolymerase"
3.1.1.76,"Poly(3-hydroxyoctanoate)depolymerase"
2.7.8.17,"UDP-N-acetylglucosamine--lysosomal-enzyme N-acetylglucosaminephosphotransferase"
3.1.1.77,"Acyloxyacylhydrolase"
3.1.1.78,"Polyneuridine-aldehydeesterase"
3.1.1.79,"Hormone-sensitivelipase"
3.1.1.8,"Cholinesterase"
3.1.11.1,"ExodeoxyribonucleaseI"
3.1.11.2,"ExodeoxyribonucleaseIII"
3.1.11.3,"Exodeoxyribonuclease(lambda-induced)"
3.1.11.5,"ExodeoxyribonucleaseV"
3.1.11.6,"ExodeoxyribonucleaseVII"
3.1.13.1,"ExoribonucleaseII"
3.1.13.4,"Poly(A)-specificribonuclease"
3.1.13.5,"RibonucleaseD"
3.1.2.1,"Acetyl-CoAhydrolase"
3.1.2.12,"S-formylglutathionehydrolase"
3.1.2.14,"Oleoyl-[acyl-carrier-protein]hydrolase"
3.1.2.15,"Ubiquitinthiolesterase"
3.1.2.2,"Palmitoyl-CoAhydrolase"
3.1.2.22,"Palmitoyl-proteinhydrolase"
3.1.2.23,"4-hydroxybenzoyl-CoAthioesterase"
3.1.2.26,"Bile-acid-CoAhydrolase"
3.1.2.27,"Choloyl-CoAhydrolase"
3.1.2.4,"3-hydroxyisobutyryl-CoAhydrolase"
3.1.2.6,"Hydroxyacylglutathionehydrolase"
3.1.21.1,"DeoxyribonucleaseI"
3.1.21.2,"DeoxyribonucleaseIV(phage-T(4)-induced)"
3.1.21.3,"TypeIsite-specificdeoxyribonuclease"
3.1.21.4,"TypeIIsite-specificdeoxyribonuclease"
3.1.21.5,"TypeIIIsite-specificdeoxyribonuclease"
3.1.21.7,"DeoxyribonucleaseV"
3.1.22.1,"DeoxyribonucleaseII"
3.1.22.4,"Crossoverjunctionendodeoxyribonuclease"
3.1.25.1,"Deoxyribonuclease(pyrimidinedimer)"
3.1.26.11,"RibonucleaseZ"
3.1.26.12,"RibonucleaseE"
3.1.26.3,"RibonucleaseIII"
3.1.26.4,"RibonucleaseH"
3.1.26.5,"RibonucleaseP"
3.1.27.1,"RibonucleaseT(2)"
3.1.27.10,"rRNAendonuclease"
3.1.27.3,"RibonucleaseT(1)"
3.1.27.4,"RibonucleaseU(2)"
3.1.27.5,"Pancreaticribonuclease"
3.1.27.6,"Enterobacterribonuclease"
3.1.27.9,"tRNA-intronendonuclease"
3.1.3.1,"Alkalinephosphatase"
3.1.3.10,"Glucose-1-phosphatase"
3.1.3.11,"Fructose-bisphosphatase"
3.1.3.12,"Trehalose-phosphatase"
